83,Irish Times completely undermining their reporting just weeks from am election (    ),,,
84,"Pretty sure for whom I'm voting in upcoming election, but yet to decide order of preferences. If you're not sure, use @smartvoteie #GE2016",,,
85,.@Finianmcgrathtd thanks for committing to #RiseUp4Children - we hope you help make #childinequality a major issue for #GE16,,,
86,#Ireland wake up #GE16 this is the way it should have been done #IneptUselessGovt  ,,,
87,Stop the coronation. #GE16,,,
88,The official @rtenews Twitter account for Election 2016 information on Dublin South-Central #dubsc #ge16,,,
89,My Dad [emoticon] soaked but smiling #ge16,,,
90,And encourage as many like minded people as possible to do likewise.! #GE16.!,,,
91,"Green Party Candidates in all 40 constituencies #GE16 . We are back, onwards & upwards. Now win our way back to the Dail #VoteGreen2016",,,
92,This is the ONLY Labour Minister set to keep their seat after General Election         #GE16,,,
93,Sinn Féin's @JOBrien_SF 1/80 to retain seat in #Cork North Central. @ThomasGouldsf fighting for seat at 10/11 #GE16,,,
94,"#GE2016 #electBridSmith freezing cold canvass, warm reception on the doorstep. Team Brid rocks.",,,
95,"Childcare, crime and health are the top three areas of concern on the doors in Dublin Fingal #GE16",,,
96,@MarjFog Here's who's currently running in our constituency of #CWKK for #GE16 >,,,
97,"The #SocDems plan to reduce shortages, delays, and costs in the state health system is to make everything ""free"". Good luck with that. #GE16",,,
98,Enda sounding like a petulant child hiding something in his room #GE16,,,
99,Getting ready to launch AAA-PBP Common Principles @RBoydBarrett @paulmurphyAAA @bridsmith @RuthCoppingerTD #GE16,,,
100,power in Ireland religious fundamentalism  protect powerful old boy network from accountability #blizzard2016 #GE2016,,,
101,Has @LPFactCheck now become @PopulistwatchIr ??? Both full of @LabourBullyBoys rhetoric #GE2016,,,
102,We have lots of Ministers with titles that bear no relevance to what they actually do #MyHomelessFamily #ge16,,,
103,#Finegael learn from #Fiannafail #GE16 elbow rush spectacle last weekend. No records broken to get on stage with #endakenny at #fgaf16,,,
104,"Enda Kenny 2011: ""Fine Gael would not put more money into the banks unless there's burden-sharing.."" #GE16 #FGAF16",,,
105,Make mental health an election issue for Ireland. Please RT @iaymh @yes4youth @YMHAction,,,
106,The @AAA_IRE-@PB4P (AAA-PBP) candidates for the 2016 general election:  #ge16,,,
107,"Show your support for RENUA Ireland, add a #Twibbon now!  #GE16",,,
108,FF can't run an election campaign without Brit Torys How can they be expect to run a country No ambition for our island of Ireland #votewise,,,
109,I'll be travelling from Dublin to support @BarbaraMSmyth - a real alternative in Longford/Westmeath #GE16,,,
110,Are there ready made notices I can print off to keep @scottishlabour @scotlibdems and @ScotTories away from my front door? #ge2016,,,
111,Prediction: All five Donegal seats will be filled by sitting TDs  @BreakfastNT  #GE16,,,
112,"So true and it shows everyday they spin harder and harder, bring on #GE16",,,
113,#FiannaFail are as irrelevant in #ge16 as they were in #ge11 - they've ruled themselves out of next govt. #twip,,,
114,@Fuhrerious1488 Is that the day @CPP_Ireland register? Get a Cllr. elected? Get a TD elected? Get into Govt.? Twelfth of Never then. #GE16,,,
115,Best wishes to the inimitable @mmccarthyTD will be travelling the high roads and by roads of Cork Southwest with him,,,
116,@DonegalNowNews Thanks Paddy.  #PaddyHarte #Harte4TD #Donegal #GE2016,,,
117,FG used €1.4m of public cash for research on voters' moods  via @Independent_ie They know our mood = very late GE16,,,
118,Men waving flags and satirical ads never changed anything  solutions needed #dublin #now #GE16,,,
119,"If this article is true, will #Watercharges being abolished be a red line issue for entering in2  coalition?  #GE16",,,
120,"""Step together boldly tread, / firm each foot, erect each head."" (All about jobs.) #ge16",,,
121,Lots of you clutching your pearls over the question of whether X will do business with Y after #GE16 . It's known to non-naifs as politics.,,,
122,Irish PM says not considering independent MPs for next coalition: DUBLIN (Reuters) - Ireland's senior coalitio...,,,
123,Supporters staunch & new. One thing in common - community comes first #GE16 campaign @MarkWall1 @pro_rur_ireland,,,
124,Sligo Is Ready For Real Change  A wonderful turnout for the launch of my general election campaign. #GE16,,,
125,Burton promises abortion vote if Labour returns to power  []  #ireland #news,,,
126,"Speaking at a school in Swords, AAA TD Chimay Connelly repeated calls for enhanced sausage regulation. #ge16",,,
127,Retweeted Pinky (@cncpinky):  Selective amnesia #fgaf16 #EndaOUT,,,
128,According to latest polls 27% still undecided. Great opportunity for @SocDems. Ppl tired of same old hash. #GE16,,,
129,"Failure to tackle long term problems - chronic disease, poor planning, poorly insulated housing - we will tackle these #ge16 #voteGreen2016",,,
130,Here is the alternative put People First Put People Before Profit #PBPA #GE16,,,
131,"Speaking in a chipper in Cork, Sinn Féin TD Tiger Twomey said much could be learned from more magic roundabouts. #ge16",,,
132,@ronanburtenshaw @1GaryGannon a #Socdems stalwart has already said they won't rule anyone in or out ahead of #GE16,,,
133,@LabourCSC @CiaranLynchTD @corkcitycouncil whatever's you do don't get sick in Cork tonight! Lives at risk. Spin is cheap. #GE16 #FINEGAEL,,,
134,"Sinn Féin Ard Chomhairle meets in Dublin Saturday to discuss Dáil and Assembly elections, floods, housing #GE16",,,
135,"@CathalMacCoille Labour party are gone, they looking for others to support them now in their power trip #ge16",,,
136,"On the promise of anonymity, FF Councillor Spare Ribs McNamara accused opponents of ignoring solidarity with cows. #ge16",,,
137,McGrath has mastered the strategy of leaflet drops  #GE16 #DBN,,,
138,"#SinnFein Vote for Sinn Féin's progressive, republican vision for Wicklow and Ireland - Cllr...",,,
139,Apt for arrogant Enda Kenny.  About to relearn #FF lesson of last GE  #GE16,,,
140,Not true #VInb  right2change + 1YI are clearly offering an alternative #GE16 #Peoplesdebate,,,
141,Enda's big election date tease. #GE16 #thatsFineGaelness,,,
142,Support for Ireland's ruling coalition falls as election looms  #world #UM,,,
143,And this is the recovery? People need to use their vote wisely for the #ge2016,,,
144,"If @fiannafailparty had done all this when they were in goverment, we wouldn't have got in to the mess we were in [emoticon]  #GE16 #ArdFheis #af16",,,
145,The official @rtenews Twitter account for Election 2016 information on Dublin Mid-West #dubmw #ge16 #election2016,,,
146,Don't forget #vinb #PeoplesDebate is being recorded tomorrow night in @FirgroveHotel ALL WELCOME from 7pm #ge16,,,
147,We're ready to roll now for #EarnOurVote16 - our new #GE16 campaign. Off to the launch now.,,,
148,"Emotive and empowering speech by @MichealMartinTD, looking forward to #GE16 and the campaign trail #Af16 #Equality4All",,,
149,@fb_fitz @SocDems @sinnfeinireland #ballyhea is an important protest but there are much more fundamental matters in Ireland. #ge16,,,
150,Pascal will do anything to get his face in the papers!   #GE16,,,
151,The rain is doing a grand job of washing off the RTE makeup on the campaign trail [emoticon][emoticon][emoticon] #ge16,,,
152,@DublinFoodCoop Hi - could you share this street meditation #climatechange #ge16 event?,,,
153,@tonydoco To be honest I think NONE would pass the Fiscal council day one #GE16,,,
154,It's a Tweeps party at the launch of @noelwhelan The Tallyman's Campaign Handbook #GE16,,,
155,Now would be a good time to set out your 'independent opinion' stall if you consider yourself an Irish Journalist. #ge16,,,
156,@Sharrow_ie @TheUSI thanks! Looking forward to mobilising students for #ge16! Hopefully everyone will use @smartvoteie and #MakeASmartVote,,,
157,@donmyers365 @DCAWarriors guess who the unions will be supporting in #GE16? How can unions be championing the working class? I say NO to LAB,,,
158,Two new #DirDemNCM @DDI candidates join #Galway election race #GE16 - Galway Bay FM,,,
159,The S. Dems are running with the hare & hunting with the hound  Two faced as asual,,,
160,Great to join forces with 1YI calling for citizen initiatives at the Green Party conference. #GE16 #VoteGreen2016,,,
161,"Thank you @AnnNortonIND for pledging as a #GE16 candidate for people with neuro conditions  Pledge  #800,000minds",,,
162,@Ukilkelly #UNCRC championing children's rights - requesting to decriminalize abortion prob not one of their main prerogatives #GE16,,,
163,Fianna Fail general election team #GE16,,,
164,@TalentCoop I am sure @fiannafailparty will take pains to clarify position for #GE16 @caulmick,,,
165,"They're saving ""widespread"" for after #GE16",,,
166,A young man speaks. Something should be done. All about jobs. #GE16,,,
167,Sad to see FF starting #ge16 with negative tactics / personalised attacks. Guess who left the huge waiting lists . #altarboywithamnesia,,,
168,@markohalloran You can run but you can't hide! #paddymanning #ge16,,,
169,"""Put gender ahead of party loyalty, FG councillor tells voters"" #GE16 is so interesting in so many ways.",,,
170,@limerickcityFG @FitzgeraldFrncs @FineGael you make me smile #GE16,,,
171,"My #GE16 Election Launch, Jan 28th, Clare Daly, Brendan Ogle, Mick Wallace & 1YI guest speakers. #vinb #rtept",,,
172,Coming soon to a door near you #GE16 #Clare #McDonagh4Clare,,,
173,The official @rtenews Twitter account for Election 2016 information on #dubbn. Full #ge16 coverage at:,,,
174,New #GE16 blog launched today focusing on @dublinbaynorth @RenuaDBN @SocDems @IndepAlliance @cllrmobrien,,,
175,"#CUSTARD won't share power with #FG  #CUSTARD won't accuse u of having an agenda #CUSTARD gives you warm, fuzzy feelings. #VoteCustard #GE16",,,
176,@SenatorKZappone lied about there being no room for @uglymugsie at #FEMPOWER. Don't vote for liars in #GE16,,,
177,"Liar, will run back to Enda as soon as she gets a chance!!",,,
178,@FineGael opting for UKIP colour scheme on election posters. Subconscious slip signals a return to extreme right for blueshirts?  #ge2016,,,
179,that future problems are created by the present.  #VoteNoConfidence #GE2016,,,
180,#rtenews is predicating outcome of #ge2016 with this line of questioning - inappropriate #journalism #drivetimeRTE #backItUp,,,
181,People have no right to be saying anything negative. Every election is a new chapter in getting elected #af16 #ge16 #ge2016,,,
182,Lots of these delivered today in Blanch Village...very positive response on the doors #dubw #GE16,,,
183,@barbarascully Barbara any info re #carol4dl #ge16 manifesto around #MentalHealth policy /services ?,,,
184,Spent convictions law will benefit tens of thousands of voters - final chance for TDs to #makehistory in advance of #ge2016 @Le_Cheile,,,
185,Nothing can stop an idea whose time has come! #VoteGreen2016 #GE16,,,
186,#RealityCheck: Are the Labour childcare promises realistic? #GE16,,,
187,Support for Ireland's ruling coalition falls as election looms: DUBLIN (Reuters) - Support for Irela...  #Mercados,,,
188,#vinb Leader of the Opposition @fiannafailparty's @michealmartintd will be talking to Mick Clifford about #af16 and #ge16,,,
189,"@FineGael  the spin and lies ain't working its looking highly likely that fine gael are going out at #ge16 , im quite confident of that",,,
190,@NgallagherPbp speaking today in #Sligo at the #Right2Water protest @PBPSligo Vote for anti irish water candidates,,,
191,If I defy odds & take #ge16 seat in #Cork East & if half ppl who claim to have placed bets actually have I'll be financing a lot of holidays,,,
192,Big crowd at #Cork City #Right2Water demonstration despite the awful weather. #WaterCharges firmly on #GE16 agenda.,,,
193,Noel O'Flynn after his meeting with Micheal Martin #GE16,,,
194,"Our reaction to @labour #GE16 childcare plan - big promises, but action still a long way off  #EarlyYears",,,
195,@ElectionStatsIE @IrishPolMaps are Identity Ireland running any candidates in #GE16 ??,,,
196,Hospitals telling people to please stay away is ludicrous - best little country in the world to live just make sure you don't get sick #GE16,,,
197,Thanks to Michael O'Dowd @RENUAIreland for speaking at #Ourstateofmind candidates' debate. Will you make #mentalhealth a priority in #GE16 ?,,,
198,We can have a General Election but can't vote on our Eurovision song now. @rtenews @rte #rtenews #GE16 #GE2016 #NickyByrne #Eurovision,,,
199,Be the pro choice voice in your constituency!,,,
200,@LucyHMRoche how many women did @AMDERMODY help evict in her legal representations of banks? #ge16,,,
201,Politics: Greens announce giant pencil as candidate for Longford/Westmeath #GE16,,,
202,"For any doubters in @rtenews & other media orgs, this is from @nycinews #ge16 manifesto. @SaturdayRTE",,,
203,THAT FEBRUARY SHOWER Don't be fooled by all those giddy giveaways @Independent_ie  #GE2016,,,
204,Retweeted An Phoblacht (@An_Phoblacht):  Sligo on Sunday 7pm - #GE16 launch for @MacManusChris with...,,,
205,I'm actually glad Irish politics has gone for negative campaign finally. Drop the pretence and get stuck into them. #GE16,,,
206,#Ireland #GE16 opportunity to prioritise #mentalhealth,,,
207,Ivan @NewstalkFM predicts cannon&Keaveney 2 lose seats Calls it 1.Paul Connaughton 2.Sean Canney 3.#southgalway needs #TD #GE16 #vote 4 it,,,
208,Leading FG TD hits out at female party colleague over gender quotas  via @Independent_ie no friendly fire Reggie,,,
209,@jerrybuttimer please pledge your support for people with neuro conditions    #GE16 #800000minds #NAI #2016election,,,
210,Ivan Yeats @BreakfastNT  predicts Cahill to take FF seat in Tipp #ge16,,,
211,@GEAIreland Hi - could you share this street meditation #climatechange #ge16 event?,,,
212,@KeithM We just checked our fab tax benefit on the   CALCULATOR under a RENUA FLAT TAX #GE16 #FGAF16,,,
213,I couldn't see Mary Hanafin stepping into Enda Kenny's shoes in the next Dáil. #ge16,,,
214,"Govt initiative aims add 50,000 more jobs in 2016 #ge2016",,,
215,Tipperary goes from 2 constituencies of 3 seats to a  5 seater in #GE16. Who loses out according to @pppolitics?,,,
216,"73 families become homeless in Ireland every single month, not including hidden homeless. Let's prioritise it in upcoming election #homeless",,,
217,Proud to be a part of East Wall on the march today. #GE16,,,
218,"FG/Labour  ot running together"" in #ge16. Who believes this stuff?",,,
219,The construction industry remains on the floor and faces great challenges. This needs to be addressed. #GE16 #Limerick,,,
220,Full stop after leadership. Sorted.,,,
221,Best canvassing scarf ever #Zara #ge16 #Canvassing #Citywest #DublinSW #snug,,,
222,Let's all #MakeASmartVote this year. Get matched with candidates that match your views at  - now live for #GE16,,,
223,@labour @joanburton deluded #ge16,,,
224,No point in wasting more tax payers money on you #af16 GE16 @fiannafailparty 2/2,,,
225,Investment and a national roll-out of broadband/mobile networks is urgently needed to help SME and agricultural development. #GE16 #Limerick,,,
226,First out trans candidate stands for election in all Ireland: The first ever out transgender candidate in all ...,,,
227,Micheal and his team could learn a lot from his party's founders - #GE16 #fail,,,
228,@conor_hourigan More than will be said about Enda after #GE16 @annf5 @FineGael,,,
229,"Enda obviously now supports ""a culture of 'thanks very much, big fella'"" and of ""obsessive attachment to power"". ",,,
230,"Thanks, should come in handy over the next few weeks! @netns_parents @Kildaretownetns",,,
231,The Dos and Don'ts of the Fine Gael guide to canvassing @leeofthemail @mcdonoughnews @oconnellhugh #GE2016,,,
232,".@labour promises €2-an-hour childcare, if elected  #GE16",,,
233,Wouldn't this be impossible until after ge16 or give FF a claim of dirty tricks by government.,,,
234,Those nasty Irish. They always vote for Democrats. We should get them out of this country or we're doomed!!!  #Trump1852,,,
235,"Enda Kenny 2009: ""Hello. I believe in a fairer Ireland"" #thatsFineGaelness #GE16  #vinb",,,
236,"Martin also defends €30k 'top up' from party funds for extra work he does as leader, says fully taxable #GE16  #ntfm",,,
237,"@chrisrdonoghue extracted @BreakfastNT / Ivan projections: FG 56, FF 35, Lab 11, SF 24, Ind/Others 33  #ge16",,,
238,@ryanfeehan09 campaign up and running. Got leaflet through door today #ge16,,,
239,These good people know the story #GE16,,,
240,#SiliconRepublic Every Irish adult on Facebook to be reminded to register for General Election 2016: Tomorrow ...,,,
